Area-Weighted Soybean Belt, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,43.9,-6.1
195104,46.6,-3.4
195204,50.7,0.7
195304,46.1,-3.9
195404,53.6,3.6
195504,56.6,6.6
195604,47.1,-2.9
195704,50.5,0.5
195804,50.5,0.5
195904,50.3,0.3
196004,51.9,1.9
196104,45.3,-4.7
196204,48.7,-1.3
196304,52.7,2.7
196404,51.9,1.9
196504,50.4,0.4
196604,47.0,-3.0
196704,51.8,1.8
196804,51.6,1.6
196904,51.7,1.7
197004,50.8,0.8
197104,50.7,0.7
197204,48.8,-1.2
197304,49.1,-0.9
197404,51.8,1.8
197504,45.9,-4.1
197604,53.2,3.2
197704,55.9,5.9
197804,50.5,0.5
197904,47.3,-2.7
198004,50.7,0.7
198104,55.7,5.7
198204,46.7,-3.3
198304,45.5,-4.5
198404,49.1,-0.9
198504,55.0,5.0
198604,53.2,3.2
198704,53.5,3.5
198804,50.6,0.6
198904,50.2,0.2
199004,50.1,0.1
199104,53.8,3.8
199204,48.8,-1.2
199304,47.7,-2.3
199404,51.4,1.4
199504,47.7,-2.3
199604,47.2,-2.8
199704,46.1,-3.9
199804,51.8,1.8
199904,52.6,2.6
200004,50.3,0.3
200104,54.2,4.2
200204,51.6,1.6
200304,52.0,2.0
200404,52.4,2.4
200504,53.9,3.9
200604,55.8,5.8
200704,48.7,-1.3
200804,49.1,-0.9
200904,49.7,-0.3
201004,56.5,6.5
201104,50.9,0.9
201204,53.7,3.7
201304,46.4,-3.6
201404,49.8,-0.2
201504,52.9,2.9
201604,51.6,1.6
201704,54.0,4.0
201804,42.8,-7.2
201904,50.9,0.9
