Area-Weighted Soybean Belt, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,60.7,-0.3
195105,62.5,1.5
195205,60.6,-0.4
195305,61.5,0.5
195405,56.5,-4.5
195505,64.2,3.2
195605,62.2,1.2
195705,60.4,-0.6
195805,62.2,1.2
195905,63.8,2.8
196005,59.6,-1.4
196105,57.7,-3.3
196205,66.3,5.3
196305,60.3,-0.7
196405,64.9,3.9
196505,64.7,3.7
196605,57.8,-3.2
196705,56.9,-4.1
196805,57.8,-3.2
196905,61.7,0.7
197005,63.3,2.3
197105,58.3,-2.7
197205,62.5,1.5
197305,58.7,-2.3
197405,59.8,-1.2
197505,63.8,2.8
197605,58.6,-2.4
197705,67.8,6.8
197805,61.0,0.0
197905,59.2,-1.8
198005,62.7,1.7
198105,58.8,-2.2
198205,64.5,3.5
198305,57.7,-3.3
198405,58.5,-2.5
198505,64.0,3.0
198605,62.5,1.5
198705,66.3,5.3
198805,64.8,3.8
198905,60.0,-1.0
199005,58.4,-2.6
199105,65.9,4.9
199205,61.0,0.0
199305,60.9,-0.1
199405,61.0,0.0
199505,59.0,-2.0
199605,59.7,-1.3
199705,56.5,-4.5
199805,66.1,5.1
199905,62.3,1.3
200005,63.8,2.8
200105,63.0,2.0
200205,57.9,-3.1
200305,60.1,-0.9
200405,62.4,1.4
200505,59.3,-1.7
200605,61.8,0.8
200705,65.3,4.3
200805,58.7,-2.3
200905,61.2,0.2
201005,62.5,1.5
201105,60.6,-0.4
201205,66.1,5.1
201305,61.3,0.3
201405,61.7,0.7
201505,62.2,1.2
201605,61.2,0.2
201705,60.5,-0.5
201805,68.4,7.4
201905,59.9,-1.1
