Area-Weighted Soybean Belt, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,69.4,-0.8
195106,67.2,-3.0
195206,74.6,4.4
195306,73.7,3.5
195406,72.7,2.5
195506,67.5,-2.7
195606,73.0,2.8
195706,69.7,-0.5
195806,66.6,-3.6
195906,71.7,1.5
196006,68.3,-1.9
196106,69.4,-0.8
196206,69.8,-0.4
196306,72.5,2.3
196406,70.9,0.7
196506,69.5,-0.7
196606,70.0,-0.2
196706,69.7,-0.5
196806,71.0,0.8
196906,66.5,-3.7
197006,70.6,0.4
197106,73.9,3.7
197206,68.8,-1.4
197306,71.5,1.3
197406,67.6,-2.6
197506,70.3,0.1
197606,70.5,0.3
197706,70.8,0.6
197806,70.5,0.3
197906,69.8,-0.4
198006,70.2,0.0
198106,71.1,0.9
198206,66.1,-4.1
198306,69.9,-0.3
198406,71.9,1.7
198506,67.7,-2.5
198606,71.8,1.6
198706,73.2,3.0
198806,73.9,3.7
198906,69.1,-1.1
199006,71.1,0.9
199106,73.6,3.4
199206,67.5,-2.7
199306,68.4,-1.8
199406,72.1,1.9
199506,71.1,0.9
199606,70.8,0.6
199706,70.5,0.3
199806,69.8,-0.4
199906,70.5,0.3
200006,69.2,-1.0
200106,69.6,-0.6
200206,72.9,2.7
200306,68.0,-2.2
200406,68.2,-2.0
200506,73.2,3.0
200606,70.8,0.6
200706,71.8,1.6
200806,70.8,0.6
200906,70.3,0.1
201006,72.7,2.5
201106,71.5,1.3
201206,72.1,1.9
201306,70.3,0.1
201406,71.3,1.1
201506,71.0,0.8
201606,73.2,3.0
201706,71.4,1.2
201806,73.7,3.5
201906,70.2,0.0
