Area-Weighted Soybean Belt, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,70.9,-3.8
195107,73.1,-1.6
195207,75.7,1.0
195307,74.9,0.2
195407,77.1,2.4
195507,78.6,3.9
195607,73.1,-1.6
195707,76.4,1.7
195807,72.1,-2.6
195907,73.6,-1.1
196007,73.2,-1.5
196107,73.2,-1.5
196207,72.4,-2.3
196307,74.5,-0.2
196407,75.9,1.2
196507,73.1,-1.6
196607,77.2,2.5
196707,71.5,-3.2
196807,73.4,-1.3
196907,75.0,0.3
197007,74.6,-0.1
197107,71.3,-3.4
197207,72.6,-2.1
197307,74.4,-0.3
197407,76.9,2.2
197507,74.9,0.2
197607,74.9,0.2
197707,76.7,2.0
197807,74.1,-0.6
197907,73.2,-1.5
198007,77.4,2.7
198107,74.6,-0.1
198207,75.0,0.3
198307,77.7,3.0
198407,73.1,-1.6
198507,73.7,-1.0
198607,76.3,1.6
198707,76.4,1.7
198807,76.4,1.7
198907,75.4,0.7
199007,73.3,-1.4
199107,74.9,0.2
199207,70.6,-4.1
199307,74.1,-0.6
199407,72.2,-2.5
199507,74.9,0.2
199607,71.9,-2.8
199707,74.3,-0.4
199807,74.9,0.2
199907,77.2,2.5
200007,73.3,-1.4
200107,75.5,0.8
200207,77.3,2.6
200307,74.2,-0.5
200407,72.1,-2.6
200507,75.6,0.9
200607,76.7,2.0
200707,74.0,-0.7
200807,74.2,-0.5
200907,70.0,-4.7
201007,76.1,1.4
201107,78.7,4.0
201207,80.0,5.3
201307,73.2,-1.5
201407,70.4,-4.3
201507,73.9,-0.8
201607,74.9,0.2
201707,75.3,0.6
201807,74.6,-0.1
201907,75.8,1.1
