Productivity-Weighted Soybean Belt, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,4.01,0.02
195105,3.54,-0.45
195205,3.51,-0.48
195305,3.90,-0.09
195405,3.43,-0.56
195505,3.36,-0.63
195605,3.73,-0.26
195705,5.28,1.29
195805,3.00,-0.99
195905,5.14,1.15
196005,4.71,0.72
196105,4.21,0.22
196205,4.41,0.42
196305,2.99,-1.00
196405,2.70,-1.29
196505,3.74,-0.25
196605,3.37,-0.62
196705,3.88,-0.11
196805,4.53,0.54
196905,3.36,-0.63
197005,4.25,0.26
197105,3.76,-0.23
197205,4.05,0.06
197305,4.79,0.80
197405,5.56,1.57
197505,3.79,-0.20
197605,3.25,-0.74
197705,3.19,-0.80
197805,4.47,0.48
197905,3.64,-0.35
198005,3.05,-0.94
198105,4.73,0.74
198205,5.27,1.28
198305,5.26,1.27
198405,4.74,0.75
198505,3.54,-0.45
198605,4.41,0.42
198705,3.52,-0.47
198805,2.03,-1.96
198905,3.78,-0.21
199005,6.10,2.11
199105,4.99,1.00
199205,2.10,-1.89
199305,4.33,0.34
199405,2.31,-1.68
199505,6.35,2.36
199605,6.05,2.06
199705,4.08,0.09
199805,3.78,-0.21
199905,3.95,-0.04
200005,4.30,0.31
200105,4.96,0.97
200205,5.11,1.12
200305,5.26,1.27
200405,6.50,2.51
200505,2.89,-1.10
200605,3.28,-0.71
200705,3.55,-0.44
200805,4.96,0.97
200905,4.48,0.49
201005,4.71,0.72
201105,5.26,1.27
201205,3.42,-0.57
201305,5.90,1.91
201405,3.45,-0.54
201505,5.27,1.28
201605,4.25,0.26
201705,5.18,1.19
201805,3.95,-0.04
201905,6.98,2.99
