Productivity-Weighted Soybean Belt, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,4.79,1.04
195107,4.40,0.65
195207,3.39,-0.36
195307,3.53,-0.22
195407,2.46,-1.29
195507,3.76,0.01
195607,4.15,0.40
195707,3.75,0.00
195807,6.76,3.01
195907,3.57,-0.18
196007,3.07,-0.68
196107,4.89,1.14
196207,5.09,1.34
196307,4.81,1.06
196407,3.56,-0.19
196507,3.63,-0.12
196607,3.10,-0.65
196707,3.34,-0.41
196807,3.99,0.24
196907,5.31,1.56
197007,3.36,-0.39
197107,4.26,0.51
197207,4.69,0.94
197307,4.51,0.76
197407,1.96,-1.79
197507,2.58,-1.17
197607,2.92,-0.83
197707,3.68,-0.07
197807,4.57,0.82
197907,5.03,1.28
198007,2.79,-0.96
198107,5.10,1.35
198207,4.46,0.71
198307,2.40,-1.35
198407,3.32,-0.43
198507,3.21,-0.54
198607,4.71,0.96
198707,4.52,0.77
198807,3.18,-0.57
198907,4.14,0.39
199007,4.51,0.76
199107,2.92,-0.83
199207,7.12,3.37
199307,6.75,3.00
199407,4.09,0.34
199507,3.66,-0.09
199607,4.13,0.38
199707,3.20,-0.55
199807,3.98,0.23
199907,3.52,-0.23
200007,3.84,0.09
200107,3.76,0.01
200207,3.28,-0.47
200307,4.45,0.70
200407,4.47,0.72
200507,3.65,-0.10
200607,3.43,-0.32
200707,3.10,-0.65
200807,4.56,0.81
200907,4.31,0.56
201007,5.40,1.65
201107,3.61,-0.14
201207,2.10,-1.65
201307,3.17,-0.58
201407,3.02,-0.73
201507,5.15,1.40
201607,5.37,1.62
201707,4.04,0.29
201807,3.73,-0.02
201907,4.16,0.41
