Area-Weighted Soybean Belt, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,56.9,3.9
195110,53.2,0.2
195210,48.1,-4.9
195310,57.3,4.3
195410,52.8,-0.2
195510,53.7,0.7
195610,58.3,5.3
195710,50.2,-2.8
195810,54.3,1.3
195910,50.3,-2.7
196010,53.7,0.7
196110,54.0,1.0
196210,55.5,2.5
196310,61.5,8.5
196410,51.0,-2.0
196510,53.4,0.4
196610,51.3,-1.7
196710,51.7,-1.3
196810,53.5,0.5
196910,50.4,-2.6
197010,52.6,-0.4
197110,58.1,5.1
197210,49.8,-3.2
197310,57.4,4.4
197410,52.9,-0.1
197510,55.0,2.0
197610,47.2,-5.8
197710,51.3,-1.7
197810,51.7,-1.3
197910,52.5,-0.5
198010,49.9,-3.1
198110,50.9,-2.1
198210,53.3,0.3
198310,53.4,0.4
198410,55.3,2.3
198510,53.6,0.6
198610,53.4,0.4
198710,48.0,-5.0
198810,48.0,-5.0
198910,53.7,0.7
199010,51.9,-1.1
199110,52.8,-0.2
199210,51.9,-1.1
199310,50.7,-2.3
199410,54.8,1.8
199510,53.1,0.1
199610,53.1,0.1
199710,53.6,0.6
199810,55.1,2.1
199910,52.7,-0.3
200010,56.0,3.0
200110,52.2,-0.8
200210,49.2,-3.8
200310,53.8,0.8
200410,54.5,1.5
200510,54.4,1.4
200610,50.2,-2.8
200710,57.6,4.6
200810,52.6,-0.4
200910,48.0,-5.0
201010,55.5,2.5
201110,54.6,1.6
201210,51.0,-2.0
201310,52.7,-0.3
201410,53.7,0.7
201510,55.1,2.1
201610,57.3,4.3
201710,55.5,2.5
201810,51.4,-1.6
201910,51.1,-1.9
