Area-Weighted Soybean Belt, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,68.8,-3.8
195108,71.2,-1.4
195208,71.8,-0.8
195308,73.7,1.1
195408,73.1,0.5
195508,76.1,3.5
195608,73.0,0.4
195708,72.5,-0.1
195808,72.8,0.2
195908,76.0,3.4
196008,73.6,1.0
196108,72.7,0.1
196208,72.5,-0.1
196308,71.4,-1.2
196408,70.5,-2.1
196508,71.2,-1.4
196608,69.9,-2.7
196708,69.0,-3.6
196808,72.7,0.1
196908,73.1,0.5
197008,73.1,0.5
197108,71.4,-1.2
197208,72.2,-0.4
197308,74.0,1.4
197408,70.3,-2.3
197508,73.7,1.1
197608,72.0,-0.6
197708,70.4,-2.2
197808,72.6,0.0
197908,71.4,-1.2
198008,74.8,2.2
198108,71.5,-1.1
198208,71.2,-1.4
198308,78.0,5.4
198408,74.2,1.6
198508,69.7,-2.9
198608,69.2,-3.4
198708,72.4,-0.2
198808,76.0,3.4
198908,72.3,-0.3
199008,72.4,-0.2
199108,73.4,0.8
199208,67.7,-4.9
199308,73.3,0.7
199408,69.9,-2.7
199508,76.8,4.2
199608,72.2,-0.4
199708,70.7,-1.9
199808,74.1,1.5
199908,72.0,-0.6
200008,74.0,1.4
200108,74.1,1.5
200208,73.2,0.6
200308,75.0,2.4
200408,68.0,-4.6
200508,73.8,1.2
200608,73.9,1.3
200708,75.5,2.9
200808,71.7,-0.9
200908,70.3,-2.3
201008,75.9,3.3
201108,73.8,1.2
201208,72.5,-0.1
201308,72.6,0.0
201408,72.6,0.0
201508,71.1,-1.5
201608,74.2,1.6
201708,69.8,-2.8
201808,73.3,0.7
201908,71.8,-0.8
