Productivity-Weighted Soybean Belt, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.64,-0.87
195110,2.70,0.19
195210,0.47,-2.04
195310,1.05,-1.46
195410,4.05,1.54
195510,2.74,0.23
195610,1.42,-1.09
195710,3.14,0.63
195810,1.23,-1.28
195910,3.70,1.19
196010,2.21,-0.30
196110,2.36,-0.15
196210,2.52,0.01
196310,0.82,-1.69
196410,0.72,-1.79
196510,1.49,-1.02
196610,1.86,-0.65
196710,3.33,0.82
196810,2.71,0.20
196910,3.74,1.23
197010,3.93,1.42
197110,2.98,0.47
197210,2.89,0.38
197310,3.06,0.55
197410,1.99,-0.52
197510,1.58,-0.93
197610,2.50,-0.01
197710,3.48,0.97
197810,1.52,-0.99
197910,2.92,0.41
198010,2.31,-0.20
198110,2.86,0.35
198210,2.87,0.36
198310,3.70,1.19
198410,5.13,2.62
198510,3.49,0.98
198610,3.87,1.36
198710,1.26,-1.25
198810,1.88,-0.63
198910,1.72,-0.79
199010,3.46,0.95
199110,3.59,1.08
199210,1.85,-0.66
199310,2.22,-0.29
199410,2.35,-0.16
199510,2.96,0.45
199610,2.73,0.22
199710,2.60,0.09
199810,4.02,1.51
199910,1.53,-0.98
200010,1.96,-0.55
200110,4.03,1.52
200210,3.59,1.08
200310,1.79,-0.72
200410,3.29,0.78
200510,1.59,-0.92
200610,3.13,0.62
200710,4.29,1.78
200810,3.07,0.56
200910,6.93,4.42
201010,1.36,-1.15
201110,1.79,-0.72
201210,3.15,0.64
201310,3.47,0.96
201410,3.38,0.87
201510,2.23,-0.28
201610,2.34,-0.17
201710,4.21,1.70
201810,3.80,1.29
201910,4.67,2.16
