Productivity-Weighted Soybean Belt, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.29,-0.05
195104,3.56,0.22
195204,2.96,-0.38
195304,3.58,0.24
195404,3.62,0.28
195504,3.39,0.05
195604,2.93,-0.41
195704,4.73,1.39
195804,3.20,-0.14
195904,2.90,-0.44
196004,2.91,-0.43
196104,3.20,-0.14
196204,1.94,-1.40
196304,2.69,-0.65
196404,5.46,2.12
196504,3.86,0.52
196604,3.55,0.21
196704,3.62,0.28
196804,3.83,0.49
196904,3.70,0.36
197004,4.43,1.09
197104,1.57,-1.77
197204,4.02,0.68
197304,4.68,1.34
197404,3.40,0.06
197504,3.77,0.43
197604,2.69,-0.65
197704,2.89,-0.45
197804,3.76,0.42
197904,4.38,1.04
198004,2.34,-1.00
198104,3.51,0.17
198204,2.87,-0.47
198304,4.49,1.15
198404,4.98,1.64
198504,2.65,-0.69
198604,3.50,0.16
198704,1.97,-1.37
198804,2.35,-0.99
198904,2.67,-0.67
199004,2.74,-0.60
199104,5.02,1.68
199204,2.86,-0.48
199304,4.20,0.86
199404,4.41,1.07
199504,4.25,0.91
199604,3.34,0.00
199704,2.89,-0.45
199804,4.19,0.85
199904,5.08,1.74
200004,2.73,-0.61
200104,3.47,0.13
200204,3.72,0.38
200304,3.18,-0.16
200404,2.32,-1.02
200504,3.21,-0.13
200604,3.74,0.40
200704,3.71,0.37
200804,4.38,1.04
200904,4.24,0.90
201004,2.97,-0.37
201104,5.74,2.40
201204,2.99,-0.35
201304,5.59,2.25
201404,4.67,1.33
201504,3.54,0.20
201604,3.65,0.31
201704,4.76,1.42
201804,2.69,-0.65
201904,4.23,0.89
