Productivity-Weighted Soybean Belt, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.40,0.19
195106,5.87,1.66
195206,3.89,-0.32
195306,3.79,-0.42
195406,4.09,-0.12
195506,3.57,-0.64
195606,3.27,-0.94
195706,5.96,1.75
195806,5.02,0.81
195906,2.82,-1.39
196006,4.64,0.43
196106,3.57,-0.64
196206,3.78,-0.43
196306,3.02,-1.19
196406,3.84,-0.37
196506,4.03,-0.18
196606,3.30,-0.91
196706,5.75,1.54
196806,4.24,0.03
196906,5.22,1.01
197006,4.03,-0.18
197106,3.96,-0.25
197206,3.39,-0.82
197306,4.18,-0.03
197406,4.47,0.26
197506,4.96,0.75
197606,3.60,-0.61
197706,3.54,-0.67
197806,3.56,-0.65
197906,3.77,-0.44
198006,4.06,-0.15
198106,5.16,0.95
198206,3.82,-0.39
198306,4.47,0.26
198406,4.40,0.19
198506,3.59,-0.62
198606,4.36,0.15
198706,3.30,-0.91
198806,1.30,-2.91
198906,4.18,-0.03
199006,5.40,1.19
199106,3.16,-1.05
199206,3.28,-0.93
199306,6.26,2.05
199406,4.67,0.46
199506,3.67,-0.54
199606,4.48,0.27
199706,4.25,0.04
199806,6.33,2.12
199906,4.82,0.61
200006,5.64,1.43
200106,4.11,-0.10
200206,3.39,-0.82
200306,4.35,0.14
200406,4.12,-0.09
200506,3.94,-0.27
200606,3.28,-0.93
200706,3.56,-0.65
200806,5.86,1.65
200906,4.58,0.37
201006,6.95,2.74
201106,4.76,0.55
201206,2.35,-1.86
201306,5.08,0.87
201406,7.36,3.15
201506,6.60,2.39
201606,3.27,-0.94
201706,3.87,-0.34
201806,5.87,1.66
201906,4.83,0.62
