Productivity-Weighted Soybean Belt, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,3.44,-0.11
195108,4.14,0.59
195208,3.82,0.27
195308,2.29,-1.26
195408,4.75,1.20
195508,2.94,-0.61
195608,3.69,0.14
195708,3.19,-0.36
195808,3.10,-0.45
195908,4.05,0.50
196008,4.15,0.60
196108,3.10,-0.45
196208,3.19,-0.36
196308,3.00,-0.55
196408,3.55,0.00
196508,3.98,0.43
196608,3.64,0.09
196708,2.73,-0.82
196808,3.26,-0.29
196908,2.59,-0.96
197008,3.20,-0.35
197108,2.31,-1.24
197208,3.64,0.09
197308,2.67,-0.88
197408,4.70,1.15
197508,4.73,1.18
197608,1.83,-1.72
197708,5.88,2.33
197808,3.74,0.19
197908,4.95,1.40
198008,5.16,1.61
198108,4.44,0.89
198208,3.91,0.36
198308,2.32,-1.23
198408,2.12,-1.43
198508,4.79,1.24
198608,3.35,-0.20
198708,4.63,1.08
198808,3.32,-0.23
198908,3.65,0.10
199008,3.77,0.22
199108,3.05,-0.50
199208,3.24,-0.31
199308,4.81,1.26
199408,3.54,-0.01
199508,3.86,0.31
199608,2.96,-0.59
199708,3.67,0.12
199808,3.70,0.15
199908,2.66,-0.89
200008,2.93,-0.62
200108,3.33,-0.22
200208,4.37,0.82
200308,2.68,-0.87
200408,4.19,0.64
200508,3.89,0.34
200608,4.50,0.95
200708,5.53,1.98
200808,2.47,-1.08
200908,4.34,0.79
201008,3.32,-0.23
201108,3.07,-0.48
201208,3.21,-0.34
201308,2.32,-1.23
201408,4.81,1.26
201508,3.75,0.20
201608,5.84,2.29
201708,4.10,0.55
201808,5.02,1.47
201908,4.06,0.51
