Year,Model,Projected Yield (Bushels/Acre),Average Annual Percent Change
2020,ElasticNet 0.25,50.59506497900406,1.1382846837448624
2020,ElasticNet 0.5,50.34323160807071,1.1968047831983433
2020,ElasticNet 0.75,50.603060371266054,1.3565091119009087
2020,LASSO,50.46219439380599,1.499359152722613
2020,Ridge,50.46219439380599,1.499359152722613
2020,Simple,50.77225951932429,1.0291690230770594
2021,ElasticNet 0.25,51.40256301884756,1.1382846837448624
2021,ElasticNet 0.5,51.24438821678303,1.1968047831983433
2021,ElasticNet 0.75,51.78687924233503,1.3565091119009087
2021,LASSO,51.86082636846231,1.499359152722613
2021,Ridge,51.86082636846231,1.499359152722613
2021,Simple,51.49863671938078,1.0291690230770594
2022,ElasticNet 0.25,51.968304901903025,1.1382846837448624
2022,ElasticNet 0.5,51.8268887947728,1.1968047831983433
2022,ElasticNet 0.75,52.4250177631697,1.3565091119009087
2022,LASSO,52.55100056964699,1.499359152722613
2022,Ridge,52.55100056964699,1.499359152722613
2022,Simple,52.01097332923553,1.0291690230770594
2023,ElasticNet 0.25,52.584438671793244,1.1382846837448624
2023,ElasticNet 0.5,52.479836681249935,1.1968047831983433
2023,ElasticNet 0.75,53.1856290796606,1.3565091119009087
2023,LASSO,53.40325075181221,1.499359152722613
2023,Ridge,53.40325075181221,1.499359152722613
2023,Simple,52.56370252327383,1.0291690230770594
2024,ElasticNet 0.25,53.15235584757284,1.1382846837448624
2024,ElasticNet 0.5,53.063118393496104,1.1968047831983433
2024,ElasticNet 0.75,53.824391413458045,1.3565091119009087
2024,LASSO,54.092844843568,1.499359152722613
2024,Ridge,54.092844843568,1.499359152722613
2024,Simple,53.07978033856023,1.0291690230770594
2025,ElasticNet 0.25,53.717137427988064,1.1382846837448624
2025,ElasticNet 0.5,53.64488582534011,1.1968047831983433
2025,ElasticNet 0.75,54.4616464406958,1.3565091119009087
2025,LASSO,54.78248486018305,1.499359152722613
2025,Ridge,54.78248486018305,1.499359152722613
2025,Simple,53.590175371577175,1.0291690230770594
2026,ElasticNet 0.25,54.33796835451904,1.1382846837448624
2026,ElasticNet 0.5,54.30006689888285,1.1968047831983433
2026,ElasticNet 0.75,55.224018940948035,1.3565091119009087
2026,LASSO,55.63441200493504,1.499359152722613
2026,Ridge,55.63441200493504,1.499359152722613
2026,Simple,54.15024998758008,1.0291690230770594
2027,ElasticNet 0.25,54.90285682379989,1.1382846837448624
2027,ElasticNet 0.5,54.88174061568748,1.1968047831983433
2027,ElasticNet 0.75,55.86096455550472,1.3565091119009087
2027,LASSO,56.323644063429576,1.499359152722613
2027,Ridge,56.323644063429576,1.499359152722613
2027,Simple,54.66034190095309,1.0291690230770594
2028,ElasticNet 0.25,55.468201034904716,1.1382846837448624
2028,ElasticNet 0.5,55.46378638864246,1.1968047831983433
2028,ElasticNet 0.75,56.4979793205992,1.3565091119009087
2028,LASSO,57.012951433901655,1.499359152722613
2028,Ridge,57.012951433901655,1.499359152722613
2028,Simple,55.170572133170594,1.0291690230770594
2029,ElasticNet 0.25,56.14458289364086,1.1382846837448624
2029,ElasticNet 0.5,56.19177582382531,1.1968047831983433
2029,ElasticNet 0.75,57.38515383391308,1.3565091119009087
2029,LASSO,58.0268331849095,1.499359152722613
2029,Ridge,58.0268331849095,1.499359152722613
2029,Simple,55.779489278890075,1.0291690230770594
2030,ElasticNet 0.25,56.65752675450005,1.1382846837448624
2030,ElasticNet 0.5,56.70199405461506,1.1968047831983433
2030,ElasticNet 0.75,57.89804144788803,1.3565091119009087
2030,LASSO,58.55314713485678,1.499359152722613
2030,Ridge,58.55314713485678,1.499359152722613
2030,Simple,56.2457107643703,1.0291690230770594
