Model,Actual,Predicted,Mean Absolute Error,Average MAE
Simple,27.1,26.474558444804416,0.6254415551955859,2.6621783039911193
Simple,42.0,40.685840174019745,1.314159825980255,2.6621783039911193
Simple,46.5,51.003639410663595,4.503639410663595,2.6621783039911193
Simple,23.0,26.190730036111518,3.1907300361115176,2.6621783039911193
Simple,28.4,30.790383688436577,2.390383688436579,2.6621783039911193
Simple,24.0,21.875524971905406,2.1244750280945937,2.6621783039911193
Simple,24.6,21.82490075597707,2.7750992440229325,2.6621783039911193
Simple,27.1,30.171411451218546,3.0714114512185446,2.6621783039911193
Simple,30.0,32.978567749603144,2.978567749603144,2.6621783039911193
Simple,25.7,29.169115454319922,3.4691154543199225,2.6621783039911193
Simple,38.0,39.54911724370368,1.5491172437036766,2.6621783039911193
Simple,32.5,33.04726346321081,0.5472634632108111,2.6621783039911193
Simple,48.0,40.013698343776355,7.986301656223645,2.6621783039911193
Simple,36.2,36.944790449090874,0.7447904490908712,2.6621783039911193
Ridge,27.1,26.47438262110859,0.6256173788914126,2.662098645845653
Ridge,42.0,40.686241262610565,1.3137587373894348,2.662098645845653
Ridge,46.5,51.0033903214038,4.503390321403799,2.662098645845653
Ridge,23.0,26.190524138686442,3.190524138686442,2.662098645845653
Ridge,28.4,30.790021713429496,2.3900217134294977,2.662098645845653
Ridge,24.0,21.875674562850236,2.124325437149764,2.662098645845653
Ridge,24.6,21.824763118177202,2.7752368818227993,2.662098645845653
Ridge,27.1,30.17098525900974,3.0709852590097384,2.662098645845653
Ridge,30.0,32.978562939203584,2.9785629392035844,2.662098645845653
Ridge,25.7,29.169192896257414,3.4691928962574146,2.662098645845653
Ridge,38.0,39.549084684889635,1.5490846848896354,2.662098645845653
Ridge,32.5,33.047400388890196,0.5474003888901962,2.662098645845653
Ridge,48.0,40.01363099641958,7.986369003580421,2.662098645845653
Ridge,36.2,36.944911261235006,0.7449112612350035,2.662098645845653
LASSO,27.1,26.03479735993085,1.0652026400691526,2.3712055209683007
LASSO,42.0,43.231778792694286,1.2317787926942856,2.3712055209683007
LASSO,46.5,49.811217520428386,3.311217520428386,2.3712055209683007
LASSO,23.0,23.848382050433543,0.8483820504335426,2.3712055209683007
LASSO,28.4,29.685347230631464,1.2853472306314657,2.3712055209683007
LASSO,24.0,22.37762001249871,1.62237998750129,2.3712055209683007
LASSO,24.6,21.2538053713198,3.346194628680202,2.3712055209683007
LASSO,27.1,26.327308019593033,0.7726919804069681,2.3712055209683007
LASSO,30.0,34.1334169979516,4.133416997951599,2.3712055209683007
LASSO,25.7,29.46195764002016,3.76195764002016,2.3712055209683007
LASSO,38.0,38.99391762371556,0.9939176237155607,2.3712055209683007
LASSO,32.5,33.49866117711463,0.9986611771146272,2.3712055209683007
LASSO,48.0,40.16633391808932,7.833666081910678,2.3712055209683007
LASSO,36.2,38.1920629419983,1.9920629419982987,2.3712055209683007
ElasticNet 0.25,27.1,26.433947883440737,0.6660521165592641,2.481107731150582
ElasticNet 0.25,42.0,41.49223155911636,0.5077684408836376,2.481107731150582
ElasticNet 0.25,46.5,50.427104318231386,3.927104318231386,2.481107731150582
ElasticNet 0.25,23.0,25.497969929284977,2.4979699292849773,2.481107731150582
ElasticNet 0.25,28.4,30.469585936733438,2.0695859367334393,2.481107731150582
ElasticNet 0.25,24.0,21.951543574750872,2.048456425249128,2.481107731150582
ElasticNet 0.25,24.6,21.662722755961,2.9372772440390023,2.481107731150582
ElasticNet 0.25,27.1,28.74483163062598,1.6448316306259798,2.481107731150582
ElasticNet 0.25,30.0,33.07231906110542,3.072319061105418,2.481107731150582
ElasticNet 0.25,25.7,29.468432449396687,3.7684324493966876,2.481107731150582
ElasticNet 0.25,38.0,39.5726990752521,1.5726990752521033,2.481107731150582
ElasticNet 0.25,32.5,33.182752990913514,0.6827529909135137,2.481107731150582
ElasticNet 0.25,48.0,39.89905661365765,8.100943386342351,2.481107731150582
ElasticNet 0.25,36.2,37.439315231491264,1.2393152314912612,2.481107731150582
ElasticNet 0.5,27.1,26.23933064031769,0.8606693596823121,2.397994669632083
