Year,Model,Projected
2020,ElasticNet 0.25,49.99272813621474
2021,ElasticNet 0.25,50.09418830443792
2022,ElasticNet 0.25,49.79238277368063
2023,ElasticNet 0.25,50.06608161529812
2024,ElasticNet 0.25,50.127477304904005
2025,ElasticNet 0.25,49.977349860961795
2026,ElasticNet 0.25,49.99647696518991
2027,ElasticNet 0.25,50.79420963021971
2028,ElasticNet 0.25,50.44651853287678
2029,ElasticNet 0.25,50.65600638184242
2030,ElasticNet 0.25,50.68883346274515
2020,ElasticNet 0.5,50.0983310886229
2021,ElasticNet 0.5,49.71010336756876
2022,ElasticNet 0.5,50.101707269147255
2023,ElasticNet 0.5,49.46622604666186
2024,ElasticNet 0.5,50.157276944107934
2025,ElasticNet 0.5,50.70205013831378
2026,ElasticNet 0.5,50.090903136720954
2027,ElasticNet 0.5,50.516824774361794
2028,ElasticNet 0.5,50.63240565986712
2029,ElasticNet 0.5,50.31716354769355
2030,ElasticNet 0.5,50.6024601112108
2020,ElasticNet 0.75,49.76089005778181
2021,ElasticNet 0.75,50.2078215619606
2022,ElasticNet 0.75,49.71445606173256
2023,ElasticNet 0.75,50.18503900852147
2024,ElasticNet 0.75,49.465589205702145
2025,ElasticNet 0.75,50.19434849934123
2026,ElasticNet 0.75,49.7502765935958
2027,ElasticNet 0.75,50.624342307796724
2028,ElasticNet 0.75,50.23207887577814
2029,ElasticNet 0.75,50.6402288030547
2030,ElasticNet 0.75,49.98548868361786
2020,LASSO,50.25472876418894
2021,LASSO,49.92091320964846
2022,LASSO,50.13978823429716
2023,LASSO,50.14892815592202
2024,LASSO,50.08275701267394
2025,LASSO,50.0915622926741
2026,LASSO,50.258082094108204
2027,LASSO,50.179433898699926
2028,LASSO,50.180301488497435
2029,LASSO,50.06697676142494
2030,LASSO,50.615190742746336
2020,Ridge,49.65725362605849
2021,Ridge,49.66443263583551
2022,Ridge,49.537315702022624
2023,Ridge,50.09012340696336
2024,Ridge,49.882396873576
2025,Ridge,50.327806105749914
2026,Ridge,49.62357008675167
2027,Ridge,50.50386077216331
2028,Ridge,49.81922022666026
2029,Ridge,50.70834792958158
2030,Ridge,50.3725864266753
2020,Simple,49.98472498893261
2021,Simple,49.29108991687281
2022,Simple,50.18149542303763
2023,Simple,49.84668290006243
2024,Simple,50.20400076028386
2025,Simple,49.1473265122122
2026,Simple,50.50475132057386
2027,Simple,50.29537886596859
2028,Simple,50.73494081815852
2029,Simple,50.2369422123345
2030,Simple,50.72559619839785
