Year,Model,Projected
2020,Simple,50.5128507223701
2021,Simple,51.06133516798923
2022,Simple,51.60981315882327
2023,Simple,52.15828792226512
2024,Simple,52.706759458314764
2025,Simple,53.255227766971984
2026,Simple,53.80369607562943
2027,Simple,54.352554898756125
2028,Simple,54.900814330099365
2029,Simple,55.44926972918756
2030,Simple,55.997755100072936
2020,Ridge,50.095321290288894
2021,Ridge,50.634172042934324
2022,Ridge,51.17301430710472
2023,Ridge,51.71185232703738
2024,Ridge,52.2506861027332
2025,Ridge,52.78951563419105
2026,Ridge,53.328345165649125
2027,Ridge,53.86768824984006
2028,Ridge,54.40493956295495
2029,Ridge,54.94375211746342
2030,Ridge,55.482821342005764
2020,LASSO,49.95783122147543
2021,LASSO,50.48639846482308
2022,LASSO,51.01496570817096
2023,LASSO,51.54353295151884
2024,LASSO,52.07210019486649
2025,LASSO,52.60066743821437
2026,LASSO,53.129234681562025
2027,LASSO,53.657801924909904
2028,LASSO,54.186369168257556
2029,LASSO,54.714936411605436
2030,LASSO,55.24350365495309
2020,ElasticNet 0.25,50.12110770900267
2021,ElasticNet 0.25,50.657915805714765
2022,ElasticNet 0.25,51.19464269895434
2023,ElasticNet 0.25,51.73132899045777
2024,ElasticNet 0.25,52.267974680224825
2025,ElasticNet 0.25,52.80457976825551
2026,ElasticNet 0.25,53.341184856286645
2027,ElasticNet 0.25,53.88270275439959
2028,ElasticNet 0.25,54.41918603722206
2029,ElasticNet 0.25,54.955628718307935
2030,ElasticNet 0.25,55.49203079765766
2020,ElasticNet 0.5,50.12110770900267
2021,ElasticNet 0.5,50.657915805714765
2022,ElasticNet 0.5,51.19464269895434
2023,ElasticNet 0.5,51.73132899045777
2024,ElasticNet 0.5,52.267974680224825
2025,ElasticNet 0.5,52.80457976825551
2026,ElasticNet 0.5,53.341184856286645
2027,ElasticNet 0.5,53.88270275439959
2028,ElasticNet 0.5,54.41918603722206
2029,ElasticNet 0.5,54.955628718307935
2030,ElasticNet 0.5,55.49203079765766
2020,ElasticNet 0.75,50.12110770900267
2021,ElasticNet 0.75,50.657915805714765
2022,ElasticNet 0.75,51.19464269895434
2023,ElasticNet 0.75,51.73132899045777
2024,ElasticNet 0.75,52.267974680224825
2025,ElasticNet 0.75,52.80457976825551
2026,ElasticNet 0.75,53.341184856286645
2027,ElasticNet 0.75,53.88270275439959
2028,ElasticNet 0.75,54.41918603722206
2029,ElasticNet 0.75,54.955628718307935
2030,ElasticNet 0.75,55.49203079765766
