Year,Model,Projected
2020,Simple,50.451805966838265
2021,Simple,50.97471512613197
2022,Simple,51.497571851232806
2023,Simple,52.02040235923778
2024,Simple,52.5432066501462
2025,Simple,53.06598472395831
2026,Simple,53.58876279777087
2027,Simple,54.114713140233334
2028,Simple,54.638443154251036
2029,Simple,55.16111635967832
2030,Simple,55.68359158276007
2020,Ridge,50.12516889532276
2021,Ridge,50.6682636522512
2022,Ridge,51.211324360552226
2023,Ridge,51.75436804454034
2024,Ridge,52.29739470421441
2025,Ridge,52.84040433957534
2026,Ridge,53.383413974936275
2027,Ridge,53.92848355223077
2028,Ridge,54.47040520314681
2029,Ridge,55.01334674125383
2030,Ridge,55.55644407363093
2020,LASSO,49.880027322024944
2021,LASSO,50.40901929586448
2022,LASSO,50.93797649630119
2023,LASSO,51.46691631003637
2024,LASSO,51.995838737070244
2025,LASSO,52.524743777402364
2026,LASSO,53.05364881773471
2027,LASSO,53.58465764894231
2028,LASSO,54.1135105291703
2029,LASSO,54.642346022696756
2030,LASSO,55.17116412952191
2020,ElasticNet 0.25,50.46462339323398
2021,ElasticNet 0.25,51.00721492831508
2022,ElasticNet 0.25,51.54976411801158
2023,ElasticNet 0.25,52.09229213501544
2024,ElasticNet 0.25,52.63479897932689
2025,ElasticNet 0.25,53.177284650945694
2026,ElasticNet 0.25,53.7197703225645
2027,ElasticNet 0.25,54.26481788997921
2028,ElasticNet 0.25,54.80724004352055
2029,ElasticNet 0.25,55.34964102436925
2030,ElasticNet 0.25,55.89202083252553
2020,ElasticNet 0.5,50.07621716946687
2021,ElasticNet 0.5,50.608874270135175
2022,ElasticNet 0.5,51.14149481757181
2023,ElasticNet 0.5,51.67409708839227
2024,ElasticNet 0.5,52.206681082597015
2025,ElasticNet 0.5,52.739246800185356
2026,ElasticNet 0.5,53.271812517773924
2027,ElasticNet 0.5,53.80658970589707
2028,ElasticNet 0.5,54.339100593637795
2029,ElasticNet 0.5,54.87159320476235
2030,ElasticNet 0.5,55.40406753927073
2020,ElasticNet 0.75,49.857193134569116
2021,ElasticNet 0.75,50.39247364763446
2022,ElasticNet 0.75,50.92780295181274
2023,ElasticNet 0.75,51.463156651547706
2024,ElasticNet 0.75,51.99853474683937
2025,ElasticNet 0.75,52.53393723768727
2026,ElasticNet 0.75,53.06933972853517
2027,ElasticNet 0.75,53.60179035704277
2028,ElasticNet 0.75,54.13637286339326
2029,ElasticNet 0.75,54.67187293646725
2030,ElasticNet 0.75,55.2075462669593
